Date,Sessions,Page Views,Bounce Rate (%)
2024-01-01,152,256,39.61
2024-01-02,149,246,43.47
2024-01-03,167,203,46.35
2024-01-04,175,213,34.65
2024-01-05,144,200,68.52
2024-01-06,157,233,68.95
2024-01-07,155,271,47.8
2024-01-08,165,236,40.3
2024-01-09,136,187,68.34
2024-01-10,125,193,62.72
2024-01-11,154,269,58.97
2024-01-12,154,253,48.47
2024-01-13,147,252,46.42
2024-01-14,127,166,61.17
2024-01-15,143,182,50.78
2024-01-16,146,223,56.42
2024-01-17,170,275,52.65
2024-01-18,130,230,58.49
2024-01-19,169,240,33.76
2024-01-20,157,221,45.1
2024-01-21,139,210,36.68
2024-01-22,154,248,39.68
2024-01-23,125,192,38.03
2024-01-24,156,255,50.13
2024-01-25,144,206,30.76
2024-01-26,142,244,68.56
2024-01-27,152,199,50.76
2024-01-28,148,206,32.1
2024-01-29,150,250,57.28
2024-01-30,146,205,40.76
2024-01-31,174,279,34.27
2024-02-01,147,202,63.21
2024-02-02,159,209,37.92
2024-02-03,145,200,34.19
2024-02-04,159,275,32.28
2024-02-05,143,211,59.14
2024-02-06,154,206,56.21
2024-02-07,147,205,30.33
2024-02-08,147,177,38.86
2024-02-09,152,251,58.19
2024-02-10,141,188,36.09
2024-02-11,146,228,53.07
2024-02-12,146,177,38.53
2024-02-13,165,281,47.97
2024-02-14,138,181,64.7
2024-02-15,140,168,42.1
2024-02-16,128,177,57.44
2024-02-17,150,263,47.53
2024-02-18,161,219,33.85
2024-02-19,142,213,44.43
2024-02-20,157,227,63.65
2024-02-21,128,176,68.92
2024-02-22,162,285,63.8
2024-02-23,149,249,36.49
2024-02-24,136,225,43.82
2024-02-25,158,239,63.25
2024-02-26,166,281,52.16
2024-02-27,137,202,61.05
2024-02-28,153,226,61.11
2024-02-29,160,239,32.84
2024-03-01,152,204,43.7
2024-03-02,138,242,49.16
2024-03-03,148,201,67.81
2024-03-04,135,178,65.93
2024-03-05,146,197,46.92
2024-03-06,163,276,33.83
2024-03-07,159,264,46.18
2024-03-08,134,195,51.44
2024-03-09,162,196,66.18
2024-03-10,138,246,41.8
2024-03-11,174,223,42.35
2024-03-12,164,281,55.09
2024-03-13,154,257,50.21
2024-03-14,153,270,37.83
2024-03-15,154,256,35.79
2024-03-16,137,192,49.58
2024-03-17,158,212,61.18
2024-03-18,135,193,61.15
2024-03-19,131,173,69.03
2024-03-20,153,250,45.31
2024-03-21,168,285,45.68
2024-03-22,152,241,30.07
2024-03-23,143,188,63.2
2024-03-24,137,167,55.87
2024-03-25,137,212,60.8
2024-03-26,146,216,48.82
2024-03-27,140,185,66.81
2024-03-28,142,202,31.16
2024-03-29,159,242,34.61
2024-03-30,153,242,45.04
2024-03-31,152,226,33.4
2024-04-01,140,250,33.52
2024-04-02,172,211,52.67
2024-04-03,155,247,38.64
2024-04-04,154,269,55.06
2024-04-05,146,196,67.18
2024-04-06,155,206,62.96
2024-04-07,157,260,39.94
2024-04-08,142,212,33.59
2024-04-09,156,280,68.01
2024-04-10,148,230,69.78
2024-04-11,151,265,44.98
2024-04-12,145,175,48.43
2024-04-13,127,164,35.81
2024-04-14,147,237,58.41
2024-04-15,142,206,46.87
2024-04-16,172,293,62.12
2024-04-17,145,211,53.09
2024-04-18,141,230,31.71
2024-04-19,146,225,43.4
2024-04-20,170,216,62.34
2024-04-21,153,250,57.52
2024-04-22,162,263,55.3
2024-04-23,163,207,56.9
2024-04-24,136,209,54.2
2024-04-25,147,206,55.64
2024-04-26,145,214,54.82
2024-04-27,143,208,51.34
2024-04-28,138,174,60.31
2024-04-29,153,198,44.78
2024-04-30,180,225,49.01
2024-05-01,183,241,46.06
2024-05-02,148,253,38.37
2024-05-03,165,200,42.88
2024-05-04,160,233,32.2
2024-05-05,155,260,43.02
2024-05-06,159,200,45.62
2024-05-07,131,175,33.74
2024-05-08,125,205,38.82
2024-05-09,146,232,39.98
2024-05-10,152,234,39.1
2024-05-11,167,218,44.01
2024-05-12,145,243,35.8
2024-05-13,172,221,59.26
2024-05-14,155,199,43.71
2024-05-15,131,220,34.89
2024-05-16,172,245,53.74
2024-05-17,139,193,37.19
2024-05-18,160,219,32.32
2024-05-19,152,212,36.53
2024-05-20,148,208,46.8
2024-05-21,138,223,57.74
2024-05-22,136,183,55.66
2024-05-23,140,195,30.21
2024-05-24,147,245,61.73
2024-05-25,155,271,43.43
2024-05-26,143,224,57.19
2024-05-27,150,189,31.31
2024-05-28,168,256,45.75
2024-05-29,152,240,30.78
2024-05-30,163,226,62.65
2024-05-31,146,248,37.48
2024-06-01,143,239,56.98
2024-06-02,142,219,41.08
2024-06-03,150,193,35.41
2024-06-04,111,180,67.21
2024-06-05,147,255,53.8
2024-06-06,141,190,65.63
2024-06-07,143,254,42.26
2024-06-08,139,231,63.19
2024-06-09,144,199,67.67
2024-06-10,179,281,45.81
2024-06-11,158,219,66.17
2024-06-12,168,212,43.4
2024-06-13,145,246,42.98
2024-06-14,141,226,69.83
2024-06-15,152,238,68.1
2024-06-16,145,186,39.14
2024-06-17,162,231,63.49
2024-06-18,158,273,43.7
2024-06-19,156,202,69.17
2024-06-20,149,183,63.99
2024-06-21,154,202,66.2
2024-06-22,141,190,52.95
2024-06-23,154,257,41.77
2024-06-24,161,256,37.9
2024-06-25,151,183,51.11
2024-06-26,161,195,56.86
2024-06-27,142,219,59.67
2024-06-28,159,251,36.82
2024-06-29,147,187,51.44
2024-06-30,143,224,47.44
